,购买金额,累计购买金额
929,147.96,0.0
930,348.95,2348.792
931,49.99,948.692
932,35.98,0.0
933,87.97,1084.332
934,912.97,579.0
935,73.96,1287.0
936,1778.67,6522.425
937,140.0,811.0
938,110.99,773.27
939,83.97,566.27
940,524.25,4978.877
941,665.97,2350.724
942,1125.47,2694.23
943,60.27,20.99
944,18.99,679.604
945,97.97,2431.35
946,565.96,5686.7
947,20.99,4052.28
948,28.99,1499.95
949,299.57,3880.65
950,1935.61,2234.78
951,28.99,1452.104
952,628.96,1084.99
953,399.99,481.99
954,891.96,0.0
955,139.99,2290.86
956,850.99,552.99
957,249.0,11597.9
958,409.96,4603.88
959,66.98,901.98
960,383.99,2236.345
961,248.99,1412.212
962,649.89,7717.51
963,29.99,1315.194
964,239.0,2978.354
965,512.78,3922.704
966,221.88,6088.645
967,189.99,2192.562
968,498.57,2346.33
969,129.95,1678.99
970,499.89,440.99
971,199.99,970.0
972,286.66,8487.154
973,1524.64,3586.95
974,17.99,571.15
975,900.21,5484.025
976,239.0,2953.499
977,35.98,665.604
978,499.99,2491.13
979,355.98,1582.43
980,185.98,1458.61
981,54.97,2935.551
982,239.98,2354.96
983,74.99,2552.83
984,197.99,11.99
985,508.98,2584.514
986,628.96,1768.18
987,640.78,954.31
988,39.98,563.614
989,71.98,782.621
990,293.99,2392.43
991,1112.99,1138.584
992,60.98,5315.044
993,239.0,1165.19
994,54.97,0.0
995,64.99,2833.092
996,199.99,851.18
997,121.98,25.99
998,1661.59,1522.332
999,98.97,1882.544
1000,140.0,1104.94
1001,59.99,2353.817
1002,10689.11,11597.9
1003,239.0,1445.96
1004,26.99,87.0
1005,139.95,1177.98
1006,577.94,1346.611
1007,239.0,672.0
1008,117.99,1974.18
1009,130.06,1276.68
1010,1225.86,3087.634
1011,199.8,6296.259
1012,146.98,2745.445
1013,438.99,1986.0
1014,288.9,1680.86
1015,239.0,1593.98
1016,497.43,4341.947
1017,771.19,2063.27
1018,1370.71,2054.37
1019,79.17,1011.6
1020,49.99,3133.446
1021,63.98,8.85
1022,12.99,2007.384
1023,329.99,3261.16
1024,79.99,3700.806
1025,52.97,1524.782
1026,399.98,3490.57
1027,64.98,1383.21
1028,66.98,1681.351
1029,369.99,2874.657
1030,36.98,69.74
1031,140.0,611.98
1032,291.98,1489.982
1033,170.58,1574.402
1034,1037.97,4772.091
1035,26.99,0.0
1036,24.99,0.0
1037,377.98,641.01
1038,43.99,3581.759
1039,82.98,5852.248
1040,1334.83,3399.28
1041,693.01,2751.188
1042,1585.95,8832.441
1043,429.99,6640.64
1044,35.98,7552.261
1045,74.98,5.99
1046,66.98,852.97
1047,239.0,2487.014
1048,79.99,2257.791
1049,110.0,3915.69
1050,399.0,8732.719
1051,46.98,587.0
1052,29.99,1184.48
1053,217.96,2438.451
1054,430.0,7768.968
1055,1218.94,6324.358
1056,36.98,643.0
1057,181.98,2200.098
1058,19.98,1095.299
1059,239.0,1166.98
1060,111.96,2603.6
1061,142.171,1824.93
1062,1009.42,4190.722
1063,199.99,1160.13
1064,332.0,651.99
1065,110.0,1258.069
1066,399.98,5713.49
1067,74.97,1948.633
1068,83.97,1468.804
1069,59.99,0.0
1070,193.83,3916.755
1071,140.0,999.98
1072,68.98,4736.431
1073,68.97,2417.89
1074,157.96,3119.242
1075,71.18,3479.02
1076,89.98,834.0
1077,275.17,2569.67
1078,3082.04,922.99
1079,31.98,742.89
1080,39.98,0.0
1081,239.0,2952.282
1082,29.99,2567.98
1083,58.98,668.519
1084,137.96,727.95
1085,688.97,964.97
1086,351.96,692.93
1087,351.96,1519.994
1088,348.95,3726.95
1089,166.96,669.97
1090,57.98,765.349
1091,2035.26,4196.134
1092,456.49,550.187
1093,231.93,981.5
1094,728.95,649.94
1095,508.79,4165.281
1096,239.0,8161.64
1097,57.97,1248.694
1098,49.99,690.78
1099,618.99,1763.35
1100,239.0,3389.63
1101,254.99,534.98
1102,923.57,1417.557
1103,3305.07,9033.112
1104,349.99,8205.097
1105,111.96,7307.236
1106,1240.88,1028.98
1107,40.99,3697.53
1108,71.96,782.99
1109,1240.55,978.982
1110,53.98,2648.8
1111,23.99,3152.981
1112,333.91,2499.197
1113,292.99,243.99
1114,105.96,3843.73
1115,24.99,608.945
1116,140.0,4371.149
1117,48.98,1871.28
1118,52.99,11597.9
1119,130.06,2493.444
1120,69.99,5779.642
1121,129.0,3887.997
1122,227.96,1180.119
1123,96.96,2791.87
1124,2284.0,942.99
1125,977.0,5884.07
1126,1914.98,1767.564
1127,1102.23,5557.354
1128,69.95,966.374
1129,116.89,2091.561
1130,107.98,1227.897
1131,109.99,2432.601
1132,89.99,2335.919
1133,119.97,742.621
1134,79.99,4208.752
1135,38.49,1815.567
1136,99.99,388.99
1137,148.95,1031.96
1138,49.98,1024.684
1139,1060.37,3530.93
1140,59.0,2684.69
1141,140.0,2951.794
1142,99.99,3102.97
1143,87.26,961.077
1144,19.98,8916.78
1145,109.98,645.31
1146,27.99,816.97
1147,151.0,2553.15
1148,41.98,996.92
1149,61.98,2060.479
1150,419.0,1539.208
1151,180.23,6982.462
1152,113.96,1107.02
1153,303.37,1521.98
1154,1149.95,2910.994
1155,120.56,718.817
1156,66.98,3420.664
1157,39.98,0.0
1158,29.99,1146.96
1159,79.99,2769.97
1160,49.98,750.0
1161,83.97,1573.856
1162,3127.98,2512.98
1163,398.99,3363.952
1164,949.79,0.0
1165,144.99,1730.55
1166,733.99,3015.287
1167,119.99,690.0
1168,74.99,1343.0
1169,469.99,410.99
1170,178.86,0.0
1171,71.18,2503.69
1172,89.07,529.587
1173,39.98,686.812
1174,37.98,806.544
1175,796.37,3982.128
1176,51.98,1397.935
1177,116.96,2068.712
1178,407.0,21.99
1179,21.99,4340.469
1180,43.19,0.0
1181,629.98,1071.2
1182,87.26,2010.694
1183,749.99,8292.011
1184,1266.18,8500.32
1185,71.98,0.0
1186,557.99,2279.982
1187,57.98,728.587
1188,33.98,2322.924
1189,110.99,2440.534
1190,61.97,574.99
1191,239.0,3561.18
1192,164.95,2099.474
1193,144.99,1192.98
1194,28.99,2909.752
1195,239.0,1699.647
1196,231.95,7.9
1197,89.96,694.794
1198,79.96,814.366
1199,89.07,2009.404
1200,183.79,2662.057
1201,19.99,29.0
1202,73.96,81.39
1203,629.98,2048.888
1204,179.0,8275.005
1205,308.99,1888.83
1206,19.99,1421.31
1207,1178.34,56.94
1208,37.98,482.99
1209,169.99,930.97
1210,179.99,1597.332
1211,698.49,4108.26
1212,39.98,1544.466
1213,797.98,3348.114
1214,1359.98,3242.791
1215,53.98,899.217
1216,83.96,0.0
